ident,site,code,type_eng,Li,Mg,Al,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Ag,Cd,Sn,Sb,Ba,Pb,Bi,Pb207_206,Pb208_206,Pb206_204,Pb207_204,Pb208_204
65,Zemechy,ZEM_44-06,brooch_D,0,0,0,0.006148,0,0,0,0.026362,0.23538,87.151232,0,0.173958,0.02007,0,11.508254,0.179147,0,0.699666,0,0.84869,2.090363,18.432668,15.643434,38.530975
66,Zemechy,ZEM_44-07,bracelet,0,0,0,0.006508,0,0,0,0.014258,0.10195,87.341104,0,0.235779,0.016828,0,10.393532,0.129011,0.004624,1.731356,0.025049,0.850695,2.097231,18.420265,15.669513,38.631548
67,Zemechy,ZEM_44-08,bracelet,0,0.054148,0,0.007057,0,0,0,0.0156,0.083941,87.862022,0.009312,0.165746,0.013212,0,9.667924,0.111691,0.000796,1.987223,0.02133,0.844521,2.087232,18.560841,15.675018,38.740784
68,Zemechy,ZEM_44-09,anklet,0,0,0,0.007554,0,0,0,0.059768,0.025907,87.611547,0,0.140322,0.015321,0,11.643273,0.115652,0,0.380656,0,0.85259,2.093456,18.290463,15.59427,38.290278
69,Zemechy,ZEM_52-01,bracelet,0,0.16422,0.000244,0.004347,0.001341,0,0,0.004266,0.05432,93.819712,0.130905,0.030654,0.013286,0,5.612972,0.033559,0,0.13058,0,0.846765,2.086216,18.469768,15.639571,38.531925
70,Zemechy,ZEM_52-02,armring,0,0.126986,0,0.00391,0.000563,0,0,0.004129,0.053265,90.185353,0,0.098946,0.010322,0,9.144714,0.081384,0,0.28453,0.006306,0.843187,2.083933,18.588362,15.673366,38.736893
71,Zemechy,ZEM_64-01,bracelet,0,0,0,0.0129,0,0,0,0.002818,0.024547,86.985076,0,0.041235,0.009769,0.001691,12.802738,0.040828,0.002818,0.075581,0,0.846449,2.085032,18.467664,15.631651,38.505664
72,Jenisuv_Ujezd,JEN-01,bracelet,0,0.020949955498355,0,0,0.002327772833151,-0.000179059448704,0.035632830292074,0.022024312190579,0.218989705764858,81.4376697461191,0.093110913326023,0.480416500872539,0.015040993691127,0,7.19072305888545,0.473075063475679,0.005729902358525,10.0044883041412,0,0.839871003501003,2.0773375,18.6551627,15.6678106,38.7530699516859
73,Jenisuv_Ujezd,JEN-02,bracelet,0,0,0,0,0.000830838118753,-0.000415419059377,0.09069982796389,0.004846555692727,0.075467795786748,71.550117110787,5.13194858651865,0.128364489347367,0.013985774999012,0,5.47941893508321,0.098592790092045,0,17.4261427146699,0,0.850443519734677,2.0896858,18.3828672,15.6340428,38.4144165230733
74,Jenisuv_Ujezd,JEN_1_2,brooch_D,0,0,0,0,0.006381168915284,0.001501451509479,0.395632472747623,0.014639152217417,0.086708824672392,86.1814398296873,0,0.257123570998218,0.019894232500592,0,12.6776184291461,0.065313140662321,0,0.293747726943176,0,0.8462926,2.0837726,18.462067,15.6243111,38.4707497430163
75,Jenisuv_Ujezd,JEN_12,brooch_D,0,0,0,0,0.011211985439943,0,0,0.101339099168718,0.002156151046143,90.173686591371,0,0,0.013368136486086,0,9.68793163448755,0.004312302092286,0,0.005994099908277,0,0.8519656,2.0962225,18.3811502,15.6603823,38.5309807322257
