ident.,site,type_eng,Li,Mg,Al,Mn,Fe,Co,Ni,Cu,Zn,As,Ag,Sn,Sb,Pb,Bi
109,Zemechy,brooch_D,0.00000,0.039113,0.000000,0.000000,2.593183,0.005497,0.017158,87.779084,0.078660,0.103797,0.011394,9.288722,0.023122,0.056105,0.000000
110,Zemechy,brooch_D,0.00000,0.000000,0.000000,0.000000,0.000000,0.000995,0.012883,89.182174,0.000000,0.030605,0.007630,10.721700,0.032567,0.011667,0.000000
111,Zemechy,brooch_D,0.00000,0.000000,0.000000,0.000000,0.000000,0.004232,0.025927,87.754736,0.000000,0.116965,0.005837,12.015639,0.047477,0.022522,0.000000
112,Zemechy,brooch_D,0.00000,0.004130,0.000000,0.000000,0.000000,0.009677,0.142785,88.701685,0.008944,0.197537,0.008357,8.630759,0.122087,2.109036,0.063927
113,Zemechy,brooch_D,0.00000,0.000000,2.920446,0.000000,0.000000,0.000866,0.004513,85.236890,0.000000,0.063952,0.004874,11.725104,0.031768,0.004152,0.000000
114,Zemechy,brooch_D,0.00000,0.000000,0.000000,0.000000,0.000000,0.026362,0.235380,87.151232,0.000000,0.173958,0.020070,11.508254,0.179147,0.699666,0.000000
115,Zemechy,bracelet,0.00000,0.000000,0.000000,0.000000,0.000000,0.014258,0.101950,87.341104,0.000000,0.235779,0.016828,10.393532,0.129011,1.731356,0.025049
116,Zemechy,bracelet,0.00000,0.054148,0.000000,0.000000,0.000000,0.015600,0.083941,87.862022,0.009312,0.165746,0.013212,9.667924,0.111691,1.987223,0.021330
117,Zemechy,anklet,0.00000,0.000000,0.000000,0.000000,0.000000,0.059768,0.025907,87.611547,0.000000,0.140322,0.015321,11.643273,0.115652,0.380656,0.000000
118,Zemechy,bracelet,0.00000,0.164220,0.000244,0.000000,0.000000,0.004266,0.054320,93.819712,0.130905,0.030654,0.013286,5.612972,0.033559,0.130580,0.000000
119,Zemechy,armring,0.00000,0.126986,0.000000,0.000000,0.000000,0.004129,0.053265,90.185353,0.000000,0.098946,0.010322,9.144714,0.081384,0.284530,0.006306
120,Zemechy,bracelet,0.00000,0.000000,0.000000,0.000000,0.000000,0.002818,0.024547,86.985076,0.000000,0.041235,0.009769,12.802738,0.040828,0.075581,0.000000
121,Jenisuv_Ujezd,bracelet,0,0.020949955498355,0,-0.000179059448704,0.035632830292074,0.022024312190579,0.218989705764858,81.4376697461191,0.093110913326023,0.480416500872539,0.015040993691127,7.19072305888545,0.473075063475679,10.0044883041412,0
122,Jenisuv_Ujezd,bracelet,0,0,0,-0.000415419059377,0.09069982796389,0.004846555692727,0.075467795786748,71.550117110787,5.13194858651865,0.128364489347367,0.013985774999012,5.47941893508321,0.098592790092045,17.4261427146699,0
123,Jenisuv_Ujezd,brooch_D,0,0,0,0.001501451509479,0.395632472747623,0.014639152217417,0.086708824672392,86.1814398296873,0,0.257123570998218,0.019894232500592,12.6776184291461,0.065313140662321,0.293747726943176,0
124,Jenisuv_Ujezd,brooch_D,0,0,0,0,0,0.101339099168718,0.002156151046143,90.173686591371,0,0,0.013368136486086,9.68793163448755,0.004312302092286,0.005994099908277,0
125,Jenisuv_Ujezd,bracelet,0,0.323143359347949,0.079122859385305,0.000700202295445,0,0.016104652795239,0.035710317067704,85.6680003419788,0,0.228265948315128,0.038511126249485,13.0264934842325,0.06896992610135,0.509026062719781,0
126,Jenisuv_Ujezd,bracelet,0.016312986616391,0,0,0,0.460569988802766,0.019938094753367,0.072502162739515,88.5628418295718,0,0.162586099943361,0.028638354282108,9.50182531444913,0.07920861279292,1.09394525738703,0
127,Jenisuv_Ujezd,bracelet,0,0.063223718314426,0,0,0,0.064880234951485,0.115956164594143,84.2360796833094,0,0.416613934220387,0.035339021590596,7.93893880893804,0.261729628655352,6.8639257721521,0
128,Jenisuv_Ujezd,brooch_D,0,0.106958727793486,0.004573892964853,0.023221302744638,0.384910684888399,0.001759189601867,0.211454590144358,89.7520942976291,0.142846195671563,0,0.010555137611199,9.01630409886251,0.014777192655679,0.309082576289544,0
129,Jenisuv_Ujezd,brooch_M,0,0,0,0,0,0.001320481047284,0.005942164712778,90.7484093732895,0,0,0.010563848378273,8.88957744639499,0.015515652305588,0.320748147587922,0
130,Prague,torc,0,0.35870022030618,0.039770600119235,0.000764819233062,0.440918287860369,0.000764819233062,0.012237107728996,86.8100422294939,0.220267939121919,0,0.011089878879402,9.42230526459495,0.03785855203658,1.08734350364455,0
131,Prague,belt,0,0,0,0,0.097515159389514,0.013716671356208,0.334732887549821,85.1079114501672,0.025589084378809,0.206326401072376,0.026395947399762,13.793872010053,0.117456202621648,0.259078997988219,0
132,Prague,bracelet,0,0,0.148703187633682,0,0.086006708523265,0.002411403042708,0.024649897769908,86.300095893461,0,0.117890815421298,0.007770076470949,13.2242146663141,0.037778647669098,0.041636892537431,0
133,Prague,bracelet,0,0,0,0,1.16483006129989,0.009817044276758,0.054371322148196,80.9181201870524,0,0.278275447383475,0.032471761838506,13.220273706746,0.064188366424953,4.23839559290228,0
134,Prague,bracelet,0,0,0,0,0.319699814043118,0.005162396074514,0.032080604177337,87.0951529157029,0,0.178471407147485,0.009587306995526,12.1984838042729,0.036505515098349,0.030458136839633,0
135,Prague,belt,0,0,0.258556898933535,-0.000204770511299,0.102316998812399,0.07358087039344,0.058564366231513,82.1203467693049,0,0.117060475625927,0.020886592152498,15.2087358922503,0.042797036861491,1.98725685805452,0
136,Prague,belt,0,0.150613572065252,0.047233842126973,0.000891204568433,0.452583386669451,0.080505479348488,1.17193400748998,85.2597586528908,0.141850060475657,0.684742176746364,0.054066410484962,11.5763463018947,0.336429724583625,0.028488839370923,0
137,Prague,brooch_D,0,0.036793394705318,0.141530420124136,0.005643158697135,0.491180532998597,0.001805810783083,0.007223243132332,88.4865341818537,0.012866401829467,0,0.025507077311048,10.5674466941586,0.076521231933145,0.109025826028641,0
138,Prague,bracelet,0,0.09660270695729,0,0.005070307823725,0.342912923867727,-0.000266858306512,0.02882069710328,87.8217343815172,0,0,0.007738890888844,11.5964077669644,0.040295604283289,0.026525715667278,0
139,Prague,brooch_D,0,0.083146140305914,0,0.004796892709957,0.066928074477013,0.001370540774273,0.011649596581323,87.5565405175253,0.037004600905379,0.11055695579138,0.078806094520715,11.8761469713105,0.058704829831373,0.098815989825105,0
140,Prague,brooch_D,0,0.194511334731221,0,0.004445973365285,0,0.025842220185719,0.130044720934588,86.1393445857214,0,0.270926501947058,0.110037840790805,8.93273853619661,0.190898981371927,3.99370672470144,0
141,Prague,torc,0,0,0,0.001912950188915,0.025093405419298,0.017104025218535,0.179029632386112,79.6133860152314,0,0.216163371347404,0.023292981712084,9.94681210789444,0.144934108430743,9.82968329309199,0
