Region,Region2,Pb207_206,Pb208_206,Pb206_204,Pb207_204,Pb208_204,reference,Outlier
E Alps,E Alps,0.81932,2.091,19.202,15.73258264,40.151382,Pernicka et al 2016,FALSE
E Alps,E Alps,0.80315,2.0976,19.615,15.75378725,41.144424,Pernicka et al 2016,TRUE
E Alps,E Alps,0.81619,2.088,19.277,15.73369463,40.250376,Pernicka et al 2016,FALSE
E Alps,E Alps,0.83662,2.0814,18.75,15.686625,39.02625,Pernicka et al 2016,FALSE
E Alps,E Alps,0.80686,2.0975,19.495,15.7297357,40.8907625,Pernicka et al 2016,FALSE
E Alps,E Alps,0.80582,2.0978,19.546,15.75055772,41.0035988,Pernicka et al 2016,TRUE
E Alps,E Alps,0.8065,2.0997,19.54,15.75901,41.028138,Pernicka et al 2016,TRUE
E Alps,E Alps,0.82929,2.0987,18.948,15.71338692,39.7661676,Pernicka et al 2016,FALSE
E Alps,E Alps,0.8358,2.0904,18.791,15.7055178,39.2807064,Pernicka et al 2016,FALSE
E Alps,E Alps,0.68406,1.6772,23.248,15.90302688,38.9915456,Pernicka et al 2016,TRUE
E Alps,E Alps,0.84065,2.0742,18.663,15.68905095,38.7107946,Höppner at al 2005,FALSE
E Alps,E Alps,0.81607,2.0149,19.273,15.72811711,38.8331677,Höppner at al 2005,FALSE
E Alps,E Alps,0.81478,2.0113,19.281,15.70977318,38.7798753,Höppner at al 2005,FALSE
E Alps,E Alps,0.8214,2.028,19.128,15.7117392,38.791584,Höppner at al 2005,FALSE
E Alps,E Alps,0.81918,2.0227,19.207,15.73399026,38.8499989,Höppner at al 2005,FALSE
E Alps,E Alps,0.83845,2.0679,18.718,15.6941071,38.7069522,Höppner at al 2005,FALSE
E Alps,E Alps,0.83719,2.0674,18.744,15.69228936,38.7513456,Höppner at al 2005,FALSE
E Alps,E Alps,0.83697,2.0671,18.746,15.68983962,38.7498566,Höppner at al 2005,FALSE
E Alps,E Alps,0.83851,2.064,18.704,15.68349104,38.605056,Höppner at al 2005,FALSE
E Alps,E Alps,0.80252,1.9972,19.614,15.74062728,39.1730808,Höppner at al 2005,FALSE
E Alps,E Alps,0.8249,2.0392,19.072,15.7324928,38.8916224,Höppner at al 2005,FALSE
E Alps,E Alps,0.82855,2.0452,18.96,15.709308,38.776992,Höppner at al 2005,FALSE
E Alps,E Alps,0.80871,1.9981,19.474,15.74881854,38.9109994,Höppner at al 2005,FALSE
E Alps,E Alps,0.80707,1.9939,19.482,15.72333774,38.8451598,Höppner at al 2005,FALSE
E Alps,E Alps,0.80851,1.9956,19.455,15.72956205,38.824398,Höppner at al 2005,FALSE
E Alps,E Alps,0.83279,2.0574,18.862,15.70808498,38.8066788,Höppner at al 2005,FALSE
E Alps,E Alps,0.82328,2.0331,19.11,15.7328808,38.852541,Höppner at al 2005,FALSE
E Alps,E Alps,0.81002,1.9983,19.415,15.7265383,38.7969945,Höppner at al 2005,FALSE
E Alps,E Alps,0.80648,1.9924,19.503,15.72877944,38.8577772,Höppner at al 2005,FALSE
E Alps,E Alps,0.81115,2.0043,19.381,15.72089815,38.8453383,Höppner at al 2005,FALSE
E Alps,E Alps,0.82486,2.0381,19.045,15.7094587,38.8156145,Höppner at al 2005,FALSE
E Alps,E Alps,0.83345,2.0565,18.852,15.7121994,38.769138,Höppner at al 2005,FALSE
E Alps,E Alps,0.80574,1.9863,19.551,15.75302274,38.8341513,Höppner at al 2005,FALSE
E Alps,E Alps,0.81486,2.0227,19.294,15.72190884,39.0259738,Höppner at al 2005,FALSE
E Alps,E Alps,0.85297,2.0964,18.358,15.65882326,38.4857112,Höppner at al 2005,FALSE
E Alps,E Alps,0.85386,2.0969,18.336,15.65637696,38.4487584,Höppner at al 2005,FALSE
E Alps,E Alps,0.84024,2.0734,18.66,15.6788784,38.689644,Höppner at al 2005,FALSE
E Alps,E Alps,0.84058,2.0704,18.653,15.67933874,38.6191712,Höppner at al 2005,FALSE
E Alps,E Alps,0.79346,1.9434,19.804,15.71368184,38.4870936,Höppner at al 2005,TRUE
E Alps,E Alps,0.83667,2.0657,18.759,15.69509253,38.7504663,Höppner at al 2005,FALSE
E Alps,E Alps,0.83251,2.065,18.897,15.73194147,39.022305,Höppner at al 2005,TRUE
E Alps,E Alps,0.85164,2.0941,18.379,15.65229156,38.4874639,Höppner at al 2005,FALSE
E Carpathians,E Carpathians,0.832925921989584,2.06748857476884,18.818,15.674,38.906,Marcoux et al. 2002,FALSE
E Carpathians,E Carpathians,0.833014455782313,2.06749574829932,18.816,15.674,38.902,Marcoux et al. 2002,FALSE
E Carpathians,E Carpathians,0.833103155210879,2.06809731222777,18.826,15.684,38.934,Marcoux et al. 2002,FALSE
E Carpathians,E Carpathians,0.831440399108375,2.06421823585607,18.842,15.666,38.894,Marcoux et al. 2002,FALSE
