"site","code","Li","Mg","Al","Mn","Fe","Co","Ni","Cu","Zn","As","Ag","Sn","Sb","Pb","Bi","analytical total"
"Prosmyky","PRO_203-02","<100",0.17,0.03,"<50",0.17,209,0.14,85.55,0.03,0.26,0.038,10.43,0.206,2.93,79,94.67
"Prosmyky","PRO_203-03","<100","<0.01","<0.01","<50",0.41,207,0.14,85.80,0.03,0.27,0.024,10.15,0.201,2.94,95,96.13
"Prosmyky","PRO_222-01","<100","<0.01",0.40,"<50",0.27,"<50","<0.01",88.85,0.03,"<0.10",0.022,10.36,0.016,0.01,"<50",88.81
"Prosmyky","PRO_231-01","<100",0.16,0.53,"<50",0.70,277,0.11,86.73,0.07,0.19,0.031,9.81,0.124,1.48,130,93.10
"Prosmyky","PRO_231-02","<100","<0.01",0.35,"<50",0.33,131,0.08,88.74,0.06,0.16,0.030,9.43,0.110,0.68,"<50",87.93
"Prosmyky","PRO_231-03","<100","<0.01",0.38,"<50",0.95,126,0.03,86.89,0.08,0.16,0.016,11.29,0.031,0.14,"<50",85.65
"Prosmyky","PRO_231-04","<100","<0.01",0.37,"<50",0.17,157,0.13,87.17,0.02,0.20,0.044,9.50,0.176,2.19,113,89.88
"Prosmyky","PRO_231-05","<100",0.17,0.42,50,"<0.01",156,0.08,86.40,0.05,0.20,0.037,10.77,0.178,1.67,76,87.00
"Prosmyky","PRO_231-06","<100",0.19,0.43,"<50",0.42,"<50",0.02,91.06,0.01,0.19,0.006,7.64,0.022,0.02,"<50",87.23
"Prosmyky","PRO_231-07","<100","<0.01",0.38,"<50",3.39,341,0.09,84.30,0.01,0.16,0.035,11.15,0.066,0.37,"<50",91.93
"Prosmyky","PRO_231-08","<100",0.10,0.36,"<50",0.13,216,0.06,87.52,0.01,0.14,0.030,10.86,0.065,0.69,"<50",93.18
"Prosmyky","PRO_238-01","<100",0.08,0.39,"<50",0.15,"<50",0.01,86.33,0.02,"<0.10","<0.005",12.92,0.014,0.01,"<50",90.50
